Cell Type	X	Y	Layer
1	423.74	1489.87	5
1	425.7	1562.69	4
3	425.74	944.36	5
1	425.92	1611.73	4
1	426.72	3375.11	3
1	426.99	2977.08	3
1	427.03	1431.24	5
1	427.06	1680.89	4
1	428.54	1007.25	5
1	429.26	399	6
1	429.39	3610.5	2
3	429.43	3024.39	3
3	429.68	3278.19	3
1	430.35	3606.51	2
1	430.37	1523.72	4
1	430.43	2620.95	3
1	430.56	1262.3	5
1	430.76	862.92	5
1	431.02	2189.46	3
1	431.26	1371.43	5
1	432.64	17.81	6
1	433.47	1974.22	3
1	433.82	3504.74	2
1	434.4	1087.48	5
3	435.42	3827.19	1
1	435.49	465.96	6
1	435.77	3350.26	3
1	435.93	1594.5	4
1	436.01	2036.38	3
1	436.53	1828.83	4
1	436.8	2662.81	3
1	436.9	1346.48	5
3	436.92	872.83	5
3	437.17	1206.68	5
1	437.42	2572.96	3
1	437.52	3235.27	3
1	437.94	1550.86	4
3	437.96	3111.18	3
1	439.22	3245.77	3
3	439.6	2059.45	3
3	439.64	1288.71	5
