;	Marker Co	ordinate F	ile	
1	-321.55	931	13.7	0.07
1	-396.8	899.07	15.8	0.07
1	-392.05	859.72	21.9	0.07
1	-388.2	802.47	21	0.07
1	-407.41	815.86	20.5	0.07
1	-321.9	811.7	17.55	0.07
1	-330.06	838.03	13.25	0.07
1	-255.21	848.78	14.15	0.07
1	-199.28	846.63	14.6	0.07
1	-124.71	809.4	13.05	0.07
1	-35.35	807.5	12.9	0.07
1	-37.95	839.38	13.8	0.07
1	-65.55	802.32	14.4	0.07
1	74.12	799.61	19.6	0.07
1	48.53	840.15	17.6	0.07
1	68.19	850.21	15.1	0.07
1	57.36	806.64	13.35	0.07
1	150.11	815	13.25	0.07
1	171.48	864.19	15.15	0.07
1	214.58	828.24	16.55	0.07
1	189.73	821.06	20.15	0.07
1	309.58	854.42	13.25	0.07
1	292.27	746.98	13.45	0.07
1	312.3	743.28	15.05	0.07
1	159.41	742.19	20.7	0.07
1	176.62	763.05	18.4	0.07
1	184.26	756.91	16	0.07
1	147.24	736.64	12.75	0.07
1	20.02	787.46	16.15	0.07
1	5.38	744.83	20.05	0.07
1	-57.75	739.73	16.2	0.07
1	-32.98	749.2	15.15	0.07
1	-23.11	730.93	14.65	0.07
1	-101.42	726.85	13.65	0.07
1	-169.01	738.62	14.2	0.07
1	-234.44	727.82	20.3	0.07
1	-222.94	744.83	19.55	0.07
1	-277.68	758.96	17.15	0.07
1	-226.94	766.87	16.55	0.07
1	-205.8	745.79	14.05	0.07
1	-300.36	767.54	18.9	0.07
1	-312.75	787.66	17.15	0.07
1	-333.97	779.82	15.85	0.07
1	-338.05	751.56	15.8	0.07
1	-397.47	703.61	17.75	0.07
1	-407.56	666.85	18.85	0.07
1	-294.03	677.08	16.2	0.07
1	-311.69	677.15	16	0.07
1	-344.85	671.97	15.45	0.07
1	-274.77	691.16	18.85	0.07
1	-222.77	701.89	18.45	0.07
1	-217.72	683.17	12.7	0.07
1	-187.53	660.69	17.6	0.07
1	-128.4	671.53	18.9	0.07
1	-90.56	682.92	16.55	0.07
1	-6	661.72	16.55	0.07
1	-21.5	670.89	16.55	0.07
1	36.09	661.3	19.4	0.07
1	65.39	715.22	17.95	0.07
1	73.7	647.25	16.1	0.07
1	103.97	705.53	12.85	0.07
1	151.89	673.77	15.95	0.07
1	165.31	662.16	17.05	0.07
1	182.52	705.65	19.6	0.07
1	245.58	670.28	19.05	0.07
1	216.2	651.12	18.4	0.07
1	250.77	694.02	17.85	0.07
1	282.89	685.81	17.65	0.07
1	229.19	629.59	18.75	0.07
1	233.49	629.67	17.5	0.07
1	281.56	611.62	17.1	0.07
1	200.95	581.22	13.35	0.07
1	146.28	594.68	13.5	0.07
1	134.78	590.39	17.05	0.07
1	157.55	579.52	17.9	0.07
1	144.79	621.9	18.05	0.07
1	153.32	640.25	20.1	0.07
1	60.84	606.35	20.2	0.07
1	25.01	634.38	17.6	0.07
1	57.06	631.12	16.15	0.07
1	-59.75	590.99	13	0.07
1	-11.16	623.68	15.55	0.07
1	-21.48	627.82	16.95	0.07
1	-12.57	579.45	17.5	0.07
1	-62.28	637.36	17.65	0.07
1	-118.07	611.84	17.85	0.07
1	-108.65	614.94	17.55	0.07
1	-125.41	631.95	17.5	0.07
1	-115.1	577.37	16.05	0.07
1	-183.87	592.09	18.75	0.07
1	-250.28	600.7	19.2	0.07
1	-198.58	608.17	17.9	0.07
1	-238.12	644.85	17.2	0.07
1	-241.01	604.69	16.1	0.07
1	-283.74	576.51	15.75	0.07
1	-188.42	588.64	12.85	0.07
1	-358.59	586.82	11.85	0.07
1	-341.83	580.97	12	0.07
